# Monthly wet deposition fluxes (ng/m2/d). Data provided by O. Travnikov, Global Mercury Assessment 2018
# SiteID,Lat,Lon,Month,Year,Concentration
ALW,38.754,-92.1994,1,2015,0.396702E+01
ALW,38.754,-92.1994,2,2015,0.930369E+01
ALW,38.754,-92.1994,3,2015,0.197423E+02
ALW,38.754,-92.1994,4,2015,0.505500E+02
ALW,38.754,-92.1994,5,2015,0.389238E+02
ALW,38.754,-92.1994,6,2015,0.635934E+02
ALW,38.754,-92.1994,7,2015,0.813399E+02
ALW,38.754,-92.1994,8,2015,0.426084E+02
ALW,38.754,-92.1994,9,2015,0.109411E+02
ALW,38.754,-92.1994,10,2015,0.975569E+01
ALW,38.754,-92.1994,11,2015,0.278642E+02
ALW,38.754,-92.1994,12,2015,0.546804E+02
ANR,42.4164,-83.9019,1,2015,0.682361E+01
ANR,42.4164,-83.9019,2,2015,0.867490E+01
ANR,42.4164,-83.9019,3,2015,0.878828E+01
ANR,42.4164,-83.9019,4,2015,0.162611E+02
ANR,42.4164,-83.9019,5,2015,0.261763E+02
ANR,42.4164,-83.9019,6,2015,0.182074E+03
ANR,42.4164,-83.9019,7,2015,0.322177E+02
ANR,42.4164,-83.9019,8,2015,0.248289E+02
ANR,42.4164,-83.9019,9,2015,0.137670E+02
ANR,42.4164,-83.9019,10,2015,0.163800E+02
ANR,42.4164,-83.9019,11,2015,0.120881E+02
ANR,42.4164,-83.9019,12,2015,0.328815E+02
APR,40.457,-78.56,1,2015,0.135013E+02
APR,40.457,-78.56,2,2015,0.183616E+02
APR,40.457,-78.56,3,2015,0.150430E+02
APR,40.457,-78.56,4,2015,0.297148E+02
APR,40.457,-78.56,5,2015,0.216112E+02
APR,40.457,-78.56,6,2015,0.540787E+02
APR,40.457,-78.56,7,2015,0.226317E+02
APR,40.457,-78.56,8,2015,0.766582E+01
APR,40.457,-78.56,9,2015,0.128498E+02
APR,40.457,-78.56,10,2015,0.166476E+02
APR,40.457,-78.56,11,2015,0.168487E+02
APR,40.457,-78.56,12,2015,0.242014E+02
ARV,39.9231,-77.3078,1,2015,0.156869E+02
ARV,39.9231,-77.3078,2,2015,0.596011E+01
ARV,39.9231,-77.3078,3,2015,0.157501E+02
ARV,39.9231,-77.3078,4,2015,0.213674E+02
ARV,39.9231,-77.3078,5,2015,0.119246E+02
ARV,39.9231,-77.3078,6,2015,0.645640E+02
ARV,39.9231,-77.3078,7,2015,0.336678E+02
ARV,39.9231,-77.3078,8,2015,0.181993E+02
ARV,39.9231,-77.3078,9,2015,0.758073E+01
ARV,39.9231,-77.3078,10,2015,0.138636E+02
ARV,39.9231,-77.3078,11,2015,0.114846E+02
ARV,39.9231,-77.3078,12,2015,0.167384E+02
ATN,39.3078,-82.1182,1,2015,0.128128E+02
ATN,39.3078,-82.1182,2,2015,0.107157E+02
ATN,39.3078,-82.1182,3,2015,0.217878E+02
ATN,39.3078,-82.1182,4,2015,0.452865E+02
ATN,39.3078,-82.1182,5,2015,0.141887E+02
ATN,39.3078,-82.1182,6,2015,0.582513E+02
ATN,39.3078,-82.1182,7,2015,0.384658E+02
ATN,39.3078,-82.1182,8,2015,0.125804E+02
ATN,39.3078,-82.1182,9,2015,0.361742E+02
ATN,39.3078,-82.1182,10,2015,0.132047E+02
ATN,39.3078,-82.1182,11,2015,0.180767E+02
ATN,39.3078,-82.1182,12,2015,0.169891E+02
BDP,45.6335,-106.5501,1,2015,0.363321E+01
BDP,45.6335,-106.5501,2,2015,0.473256E+01
BDP,45.6335,-106.5501,3,2015,0.622744E+01
BDP,45.6335,-106.5501,4,2015,0.147705E+02
BDP,45.6335,-106.5501,5,2015,0.209131E+02
BDP,45.6335,-106.5501,6,2015,0.489605E+02
BDP,45.6335,-106.5501,7,2015,0.357445E+02
BDP,45.6335,-106.5501,8,2015,0.290416E+02
BDP,45.6335,-106.5501,9,2015,0.135447E+02
BDP,45.6335,-106.5501,10,2015,0.109080E+02
BDP,45.6335,-106.5501,11,2015,0.285628E+01
BDP,45.6335,-106.5501,12,2015,0.464176E+01
BDV,40.0528,-88.3719,1,2015,0.134230E+02
BDV,40.0528,-88.3719,2,2015,0.641064E+01
BDV,40.0528,-88.3719,3,2015,0.135789E+02
BDV,40.0528,-88.3719,4,2015,0.394991E+02
BDV,40.0528,-88.3719,5,2015,0.347803E+02
BDV,40.0528,-88.3719,6,2015,0.930859E+02
BDV,40.0528,-88.3719,7,2015,0.250559E+02
BDV,40.0528,-88.3719,8,2015,0.272456E+02
BDV,40.0528,-88.3719,9,2015,0.447509E+02
BDV,40.0528,-88.3719,10,2015,0.557971E+01
BDV,40.0528,-88.3719,11,2015,0.209627E+02
BDV,40.0528,-88.3719,12,2015,0.374123E+02
BFP,40.5383,-106.6766,1,2015,0.142542E+02
BFP,40.5383,-106.6766,2,2015,0.156322E+02
BFP,40.5383,-106.6766,3,2015,0.104727E+02
BFP,40.5383,-106.6766,4,2015,0.115204E+02
BFP,40.5383,-106.6766,5,2015,0.362775E+02
BFP,40.5383,-106.6766,6,2015,0.357852E+01
BFP,40.5383,-106.6766,7,2015,0.368854E+02
BFP,40.5383,-106.6766,8,2015,0.882493E+01
BFP,40.5383,-106.6766,9,2015,0.370513E+00
BFP,40.5383,-106.6766,10,2015,0.135454E+01
BFP,40.5383,-106.6766,11,2015,0.119825E+02
BFP,40.5383,-106.6766,12,2015,0.106307E+02
BLN,45.1407,-93.222,1,2015,0.139381E+01
BLN,45.1407,-93.222,2,2015,0.421203E+01
BLN,45.1407,-93.222,3,2015,0.113189E+02
BLN,45.1407,-93.222,4,2015,0.346514E+02
BLN,45.1407,-93.222,5,2015,0.343792E+02
BLN,45.1407,-93.222,6,2015,0.514422E+02
BLN,45.1407,-93.222,7,2015,0.709119E+02
BLN,45.1407,-93.222,8,2015,0.248521E+02
BLN,45.1407,-93.222,9,2015,0.545783E+02
BLN,45.1407,-93.222,10,2015,0.137652E+02
BLN,45.1407,-93.222,11,2015,0.230784E+02
BLN,45.1407,-93.222,12,2015,0.739184E+01
BLR,46.7466,-91.6055,1,2015,0.597426E+01
BLR,46.7466,-91.6055,2,2015,0.000000E+00
BLR,46.7466,-91.6055,3,2015,0.578027E+01
LR,46.7466,-91.6055,4,2015,0.203446E+02
LR,46.7466,-91.6055,5,2015,0.221859E+02
LR,46.7466,-91.6055,6,2015,0.258521E+02
LR,46.7466,-91.6055,7,2015,0.399516E+02
LR,46.7466,-91.6055,8,2015,0.215275E+02
LR,46.7466,-91.60559,9,2015,0.308399E+02
LR,46.7466,-91.60559,10,2015,0.131671E+02
LR,46.7466,-91.60559,11,2015,0.126761E+02
LR,46.7466,-91.60559,12,2015,0.791276E+01
BMH,33.553,-86.8148,1,2015,0.127243E+02
BMH,33.553,-86.8148,2,2015,0.227736E+02
BMH,33.553,-86.8148,3,2015,0.333671E+02
BMH,33.553,-86.8148,4,2015,0.607628E+02
