# Annual mean concentrations of Hg0 (ng/m3) at various sites; Mean over Jan 2013-Dec 2015. H. Angot, Feb 2018
# SiteID,full_name,Lat,Lon,Alt,Reference
ACM,Auchencorth_Moss,55.79,-3.24,-9999,Travnikov_GMA_2018
ALT,Alert,82.5,-62.3,83,Angot_2016
AMS,Amsterdam_Island,-37.8,77.55,70,Sprovieri_2016;Angot_2016_PhD_thesis
AND,Andoya,69.28,16.01,-9999,Angot_2016
ATARS,Australian_Tropical_Atmospheric_Research_Station,-12.25,131.04,-9999,Howard_2017
ATN,Athens,39.31,-82.12,-9999,AMNet_website
BAR,Bariloche,-41.13,-71.42,801,Sprovieri_2016
BIR_I,Birkenes,58.39,8.25,-9999,Travnikov_GMA_2018
BMH,Birmingham,33.55,-86.81,-9999,AMNet_website
BRE,Bredkalen,63.85,15.33,-9999,Travnikov_GMA_2018
BRX,NYC,40.87,-73.88,-9999,AMNet_website
CAL,Calhau_Cape_Verde,16.86,-24.87,10,Sprovieri_2016
CHE,Cape_Hedo,26.86,128.25,60,Sprovieri_2016
CMA,Col_Margherita,46.37,11.79,2545,Sprovieri_2016
CPT,Cape_Point,-34.35,18.49,230,Sprovieri_2016
DBL,Diabla_Gora,54.15,22.07,-9999,Travnikov_GMA_2018
DDU,Dumont_dUrville,-66.66,140,40,Sprovieri_2016
DMC,Concordia_station,-75.1,123.35,3220,Sprovieri_2016
DNP,Denali_National_Park,63.72,-148.97,-9999,AMNet_website
EVK,Everest_K2,27.96,86.81,5050,Sprovieri_2016
GRB,Grand_Bay,30.43,-88.43,-9999,AMNet_website
HAR,Harwell,51.57,-1.32,-9999,Travnikov_GMA_2018
HRM,Horicon_Marsh,43.47,-88.62,-9999,AMNet_website
HTW,Huntington_Wildlife,43.97,-74.22,-9999,AMNet_website
KEJ,Kejimkujik,44.43,-65.21,-9999,AMNet_website
KOD,Kodaikanal,10.23,77.47,2333,Sprovieri_2016
KRE,Kosetice,49.57,15.08,-9999,Travnikov_GMA_2018
LIS,Listvyanka,51.58,104.89,670,Sprovieri_2016
LON,Longobucco,39.39,16.61,1379,Sprovieri_2016
MAL,Mt_Ailao,24.54,101.03,2503,Sprovieri_2016
MAN,Manaus,-2.89,-59.97,110,Sprovieri_2016
MCH,Mt_Changbai,741,42.4,128.11,Sprovieri_2016
MHD,Mace_Head,53.33,-9.9,8,Sprovieri_2016
MIN,Minamata,32.23,130.4,20,Sprovieri_2016
MLO,Mauna_Loa,19.54,-155.58,-9999,AMNet_website
MWA,Mt_Waliguan,36.29,100.9,3816,Sprovieri_2016
NIK,Nieuw_Nickerie,5.96,-57.04,1,Sprovieri_2016
NSW,Singleton,-32.48,151.1,-9999,Morrison_2015
PAL,Pallas,68,24.24,340,Sprovieri_2016;Travnikov_GMA_2018
PNY,Piney_Reservoir,39.71,-79.01,-9999,AMNet_website
PSC,Pensacola,30.55,-87.38,-9999,AMNet_website
RAO,Rao,57.39,11.91,5,Sprovieri_2016;Travnikov_GMA_2018
RCS,Rochester,43.15,-77.55,-9999,AMNet_website
SIS,Sisal,21.16,-90.05,7,Sprovieri_2016
SLC,Salt_Lake_City,40.71,-111.96,-9999,AMNet_website
SLD,Schauinsland,47.91,7.91,-9999,Travnikov_GMA_2018
SMK,Schmucke,50.65,10.77,-9999,Travnikov_GMA_2018
TRO,Troll,-72.02,2.53,-9999,Angot_2016
UDH,Underhill,44.53,-72.87,-9999,AMNet_website
VAV,Vavihill,56.02,13.15,-9999,Travnikov_GMA_2018
VRS,Station_Nord,81.58,-16.61,30,Sprovieri_2016;Angot_2016
WAL,Waldhof,52.8,10.76,-9999,Travnikov_GMA_2018
YKV,Yorkville,33.93,-85.05,-9999,AMNet_website
ZEP,Zeppelin,78.9,11.9,474,Angot_2016
ZIN,Zingst,54.43,12.73,-9999,Travnikov_GMA_2018
