    Site       Lat       Lon       Alt      2000s
 DE0001R   54.9256    8.3097   12.0000    5241.17
 DE0002R   52.8022   10.7594   74.0000    6891.26
 DE0007R   53.1667   13.0333   62.0000    6089.88
 DE0009R   54.4333   12.7333    1.0000    5724.52
 FI0036R   68.0000   24.2397  340.0000    2210.50
 GB0017R   52.7167    1.6167    0.0000    2961.68
 NL0091R   52.3000    4.5000    4.0000    8027.83
 NO0001R   58.3833    8.2500  190.0000   13462.96
 NO0099R   58.1000    6.5667   13.0000   11617.32
 SE0002R   57.4167   11.9333   10.0000    7932.31
 SE0005R   63.8500   15.3333  404.0000    4016.35
 SE0011R   56.0167   13.1500  175.0000    7902.57
 SE0014R   57.3939   11.9139    5.0000    6398.79
