# Annual Deposition for 2013-2014
# Data from Sprovieri et al. 2017
# SITEID,Lat,Lon,Alt,HgDep2013(ng/m2/y),HgDep2014(ng/m2/y),Precip2013(mm/y),Precip2014(mm/y)
PAL,68,24.24,340,1300,2300,298.1,379.1
RAO,57.39,5,11.91,4200,6300,515.2,631.6
MHE,53.33,-9.9,8,4800,4100,1048.8,623.3
ISK,45.56,14.86,520,7200,10000,1364.4,1631.1
LON,39.39,16.61,1379,3100,472.6,3100,472.6
CMA,46.37,11.79,2545,4400,559.5,4400,559.5
KOK,51.12,2.66,0,5934.754,0,5934.754,0
WES,54.93,8.31,0,4631.85,0,4631.85,0
WAL,52.80,10.76,0,6181.166,0,6181.166,0
SLD,47.91,7.91,0,7255.141,0,7255.141,0
SMK,50.65,10.77,0,6390.42,0,6390.42,0
ZIN,54.43,12.73,0,4812.014,0,4812.014,0
NMB,43.44,-4.85,0,14504.84,0,14504.84,0
YAR,50.60,-3.71,0,5541.795,0,5541.795,0
HGH,52.72,1.62,0,3610.916,0,3610.916,0
HAR,51.57,-1.32,0,3513.18,0,3513.18,0
ACM,55.79,-3.24,0,4205.713,0,4205.713,0
ZIL,52.30,4.50,0,7929.369,0,7929.369,0
BIR_I,58.38,8.25,0,14023.74,0,14023.74,0
DBL,54.15,22.07,0,3021.747,0,3021.747,0
BRE,63.85,15.33,0,3664.418,0,3664.418,0
VAV,56.02,13.15,0,6239.383,0,6239.383,0
