MaceHead;aug-sep;53;-10;0.107
IOC1996;06-02-1996;-2.07;-19.54;1.2
IOC1996;06-03-1996;-0.88;-20.03;0.55
IOC1996;06-05-1996;3.56;-24.66;1.03
IOC1996;06-07-1996;4.56;-28.82;0.73
IOC1996;06-07-1996;5.15;-33.27;0.94
IOC1996;06-07-1996;5.27;-35.68;0.95
IOC1996;06-07-1996;5.81;-37.76;0.65
IOC1996;06-08-1996;6.47;-40.72;1.1
IOC1996;06-09-1996;6.62;-41.16;0.7
IOC1996;06-11-1996;7.34;-44.43;0.47
IOC1996;6-13-1996;7.92;-50.29;0.9
IOC1996;6-13-1996;6.57;-45.52;0.88
IOC1996;6-13-1996;6.12;-38.09;1.83
IOC1996;6-13-1996;6.8;-41.22;0.88
IOC1996;6-13-1996;6.72;-41.3;0.24
IOC1996;6-13-1996;6.93;-41.6;1.28
IOC1996;6-13-1996;6.73;-40.74;0.56
IOC1996;6-14-1996;6.89;-43;0.9
mid-Atlantic Bight;01-07-1998;36.96;-73.6;0.39
mid-Atlantic Bight;01-07-1998;36.26;-74.1;0.13
mid-Atlantic Bight;01-07-1998;35.85;-72.96;0.13
arctic_MA;13-07-2005;62.68233401;-51.74150035;0.06817145
arctic_MA;14-07-2005;66.92111656;-56.1376194;0.090180849
arctic_MA;28-07-2005;70.91256929;-144.3063349;0.180708799
arctic_MA;29-07-2005;71.43005015;-151.1542336;0.225937968
arctic_MA;30-07-2005;71.41063153;-156.3213427;0.153657055
arctic_MA;31-07-2005;70.4959242;-162.7792832;0.129664738
arctic_MA;01-08-2005;67.19472794;-168.0282034;0.118186295
arctic_MA;02-08-2005;65.342266;-169.5212078;0.260431321
arctic_MA;06-08-2005;67.14130333;-173.084468;0.25745363
arctic_MA;07-08-2005;67.11077577;-173.3199149;0.104048425
arctic_MA;15-08-2005;70.18873165;-178;0.174620235
arctic_MA;16-08-2005;67.57028745;-172.6074663;0.218004055
arctic_MA;18-08-2005;69.59811591;-166.2880191;0.295531856
arctic_MA;19-08-2005;71.1426665;-158.5457313;0.230171042
arctic_MA;20-08-2005;71.36502759;-156.6326051;0.205166064
arctic_MA;21-08-2005;71.50940673;-152.2003991;0.245387219
arctic_MA;22-08-2005;72.9559216;-151.3203907;0.179339685
arctic_MA;23-08-2005;74.41867732;-150.6536412;0.155952087
arctic_MA;24-08-2005;76.22713166;-149.9586994;0.209166746
Eq. Pacific;15-06-1984;0;-154.8;0.05
Eq. Pacific;15-06-1984;0;-149.8;0.05
Eq. Pacific;15-06-1984;0;-144.9;0.06
Eq. Pacific;15-06-1984;0;-139.8;0.06
Eq. Pacific;15-06-1984;0;-134.9;0.06
Eq. Pacific;15-06-1984;0;-129.8;0.05
Eq. Pacific;15-06-1984;0;-124.8;0.07
Eq. Pacific;15-06-1984;0;-119.9;0.06
Eq. Pacific;15-06-1984;0;-114.8;0.12
Eq. Pacific;15-06-1984;0;-109.7;0.13
Eq. Pacific;15-06-1984;0;-104.8;0.06
Eq. Pacific;15-06-1984;0;-99.5;0.15
Eq. Pacific;15-06-1984;0;-94.7;0.1
Eq. Pacific;15-06-1984;4.4;-85;0.18
Eq. Pacific;15-06-1984;2.9;-85;0.04
Eq. Pacific;15-06-1984;1.96;-85;0.04
Eq. Pacific;15-06-1984;-0.04;-85;0.05
Eq. Pacific;15-06-1984;-1.01;-85;0.05
Eq. Pacific;15-06-1984;-2.05;-85;0.06
Ionian Sea;10-08-2003;36.0325;18.27;0.265
Western Med. Sea;03-08-2000;39.05571429;5.191428571;0.11169621
Tyrrenhian Sea;29-07-2000;39.97;10.69428571;0.096073725
Eastern Med. Sea;17-07-2000;34.13333333;22.21;0.173931347
North Atlantic;10-08-1993;54.5;-48.46;0.45
North Atlantic;15-08-1993;54.37;-28;1.09
North Atlantic;16-08-1993;56.03;-25.53;0.25
North Atlantic;20-08-1993;58.52;-28.19;0.58
North Atlantic;23-08-1993;63.66;-32.99;0.2
North Atlantic;24-08-1993;65.19;-30.43;0.23
North Atlantic;24-08-1993;66.73;-25;0.16
North Atlantic;25-08-1993;68.27;-22.72;0.63
North Atlantic;26-08-1993;66.54;-12;1.25
North Atlantic;28-08-1993;64.8;-6.2;0.3
North Atlantic;30-08-1993;61.44;-8.4;0.53
North Atlantic;30-08-1993;61.44;-20;1.5
