Lamborg et al. (in-prep);04-12-2007;-14.75;10;0.5
"Mason and Fitzgerald (1990 1993)";15-01-1990;5.65;-87.6;2.9
"Mason and Fitzgerald (1990 1993)";15-01-1990;0;-110;3.2
"Mason and Fitzgerald (1990 1993)";15-01-1990;2.45;-129.5;0.6
"Mason and Fitzgerald (1990 1993)";15-01-1990;5;-150;2.7
"Mason and Fitzgerald (1990 1993)";15-01-1990;12.75;-157;0.8
"Mason and Fitzgerald (1990 1993)";15-01-1990;2.67;-171.67;0.2
"Mason and Fitzgerald (1990 1993)";15-01-1990;5;-180;4.7
"Mason and Fitzgerald (1990 1993)";15-01-1990;0;-180;1.1
Mason et al. (2001);01-12-1999;31.67;-64.17;1.5
